status,age,familysize,healthy,gender,education,married,selfemployed,region,race
insured,55,1,Yes,Female,High School Diploma,No,No,South,White
insured,52,4,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,39,2,Yes,Male,High School Diploma,Yes,No,South,White
insured,46,4,Yes,Female,High School Diploma,No,No,NorthEast,White
insured,49,6,Yes,Male,High School Diploma,Yes,No,West,White
insured,61,3,Yes,Male,PhD Degree,Yes,No,MidWest,White
insured,30,2,Yes,M,Bachelor Degree,Yes,No,MidWest,White
insured,49,4,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,40,4,Yes,Male,High School Diploma,Yes,No,West,White
insured,33,4,Yes,F,No certificate,married,No,West,White
insured,53,3,Yes,Male,High School Diploma,Yes,No,West,White
insured,,3,Yes,Female,High School Diploma,No,No,MidWest,White
insured,26,3,Yes,Female,High School Diploma,No,No,MidWest,White
insured,26,1,Yes,Female,High School Diploma,No,No,MidWest,White
insured,31,3,Yes,Male,High School Diploma,No,No,West,White
insured,57,2,Yes,Male,PhD Degree,Yes,No,West,White
insured,40,2,Yes,Female,Bachelor Degree,Yes,No,West,White
insured,33,2,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,46,3,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,46,3,Yes,Female,Master's Degree,Yes,No,South,White
insured,49,3,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,40,3,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,48,3,Yes,Female,High School Diploma,Yes,No,West,White
insured,19,3,Yes,Female,Other Degree,No,No,West,White
insured,23,1,Yes,Female,Bachelor Degree,No,No,West,White
insured,48,3,Yes,Male,High School Diploma,Yes,No,South,White
insured,50,3,Yes,Female,High School Diploma,Yes,No,South,White
insured,33,3,No,Female,Other Degree,Yes,No,NorthEast,White
insured,35,5,Yes,Male,Bachelor Degree,married,No,NorthEast,White
insured,38,2,Yes,M,High School Diploma,No,No,MidWest,White
insured,43,3,Yes,Female,Other Degree,No,No,West,White
insured,40,3,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,35,3,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,40,3,Yes,Female,Other Degree,No,No,West,White
insured,50,5,Yes,F,High School Diploma,Yes,No,NorthEast,White
insured,49,5,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,21,5,Yes,Male,High School Diploma,No,No,NorthEast,White
insured,19,5,Yes,Male,High School Diploma,No,No,NorthEast,White
insured,42,1,Yes,Female,No certificate,No,No,West,White
insured,44,4,Yes,Male,High School Diploma,Yes,No,South,White
insured,43,,Yes,Female,Master's Degree,Yes,No,South,White
insured,47,4,Yes,Male,Other Degree,Yes,No,NorthEast,White
insured,45,4,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,39,1,Yes,Female,Other Degree,No,No,NorthEast,White
insured,59,2,Yes,Female,Master's Degree,Yes,No,South,White
insured,37,1,Yes,Male,High School Diploma,No,No,West,White
insured,26,1,Yes,Male,High School Diploma,single,No,South,White
insured,27,1,Yes,Male,Bachelor Degree,single,No,West,White
insured,49,4,Yes,Male,Master's Degree,Yes,No,South,White
insured,48,4,Yes,Female,Other Degree,Yes,No,South,White
insured,44,3,Yes,Female,High School Diploma,Yes,No,South,White
insured,51,4,Yes,Male,Bachelor Degree,single,No,West,White
insured,44,2,Yes,Male,High School Diploma,single,No,MidWest,White
insured,33,1,Yes,Male,High School Diploma,No,No,MidWest,White
insured,37,3,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,41,2,Yes,Male,Master's Degree,Yes,No,NorthEast,White
insured,50,1,Yes,Female,High School Diploma,No,No,MidWest,White
insured,41,2,Yes,Female,High School Diploma,Yes,No,South,White
not insured,56,4,Yes,Male,PhD Degree,Yes,No,West,White
insured,56,4,Yes,Female,Bachelor Degree,Yes,No,West,White
insured,19,4,Yes,Female,High School Diploma,No,No,West,White
insured,,2,Yes,Female,High School Diploma,Yes,No,MidWest,Other
insured,24,1,Yes,Male,Bachelor Degree,No,No,West,White
insured,40,2,Yes,Male,High School Diploma,Yes,No,West,Other
insured,33,2,Yes,Female,PhD Degree,Yes,No,West,Other
insured,45,4,Yes,Female,Bachelor Degree,No,No,West,White
insured,37,4,Yes,Female,Other Degree,No,No,West,White
insured,42,4,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,40,4,Yes,F,High School Diploma,Yes,No,NorthEast,White
insured,46,4,Yes,Male,High School Diploma,Yes,No,South,White
insured,46,4,Yes,Female,High School Diploma,Yes,No,South,White
insured,36,3,Yes,Male,High School Diploma,Yes,No,West,White
insured,35,3,Yes,Female,High School Diploma,Yes,No,West,White
insured,54,5,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,28,5,Yes,Male,Bachelor Degree,No,No,MidWest,White
insured,21,5,Yes,Female,Other Degree,No,No,MidWest,White
insured,40,3,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,46,3,Yes,M,Master's Degree,Yes,No,MidWest,White
insured,33,4,Yes,M,High School Diploma,Yes,No,West,White
insured,41,4,Yes,M,Other Degree,Yes,No,MidWest,White
insured,34,4,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,36,4,Yes,Female,Master's Degree,Yes,No,South,White
insured,40,3,Yes,Female,High School Diploma,Yes,No,MidWest,White
insured,44,,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,41,5,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,39,5,Yes,Female,High School Diploma,Yes,No,NorthEast,White
insured,27,2,Yes,Male,Master's Degree,Yes,No,NorthEast,White
insured,33,1,Yes,Male,High School Diploma,No,No,NorthEast,White
insured,51,1,Yes,Female,High School Diploma,No,No,NorthEast,White
insured,23,2,Yes,Female,Bachelor Degree,No,No,NorthEast,White
insured,37,3,Yes,Female,Bachelor Degree,Yes,No,MidWest,White
insured,61,2,Yes,Male,High School Diploma,Yes,No,South,White
insured,56,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,47,4,Yes,Male,High School Diploma,Yes,No,South,White
insured,48,4,Yes,Female,High School Diploma,Yes,No,South,White
insured,33,2,Yes,Female,Other Degree,No,No,MidWest,White
insured,45,1,Yes,Female,Bachelor Degree,No,No,South,White
insured,35,5,Yes,Male,High School Diploma,Yes,No,NorthEast,White
insured,50,1,Yes,Female,High School Diploma,No,No,MidWest,White
insured,23,,Yes,F,High School Diploma,No,No,NorthEast,White
insured,54,2,Yes,F,High School Diploma,No,No,MidWest,White
insured,34,3,Yes,Male,Master's Degree,Yes,No,MidWest,White
insured,30,3,Yes,F,Master's Degree,Yes,No,MidWest,White
insured,51,4,Yes,Male,Other Degree,Yes,No,MidWest,White
insured,47,4,Yes,F,Other Degree,Yes,No,MidWest,White
insured,20,4,Yes,Female,High School Diploma,No,No,MidWest,White
insured,39,2,Yes,Female,High School Diploma,Yes,No,MidWest,Other
insured,39,2,Yes,Male,Other Degree,Yes,No,MidWest,White
insured,46,3,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,29,50,Yes,Male,High School Diploma,Yes,No,MidWest,White
insured,48,1,Yes,Male,Bachelor Degree,No,No,NorthEast,White
insured,45,2,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,,2,Yes,Female,Bachelor Degree,Yes,No,South,White
insured,40,2,Yes,Female,High School Diploma,Yes,No,South,White
insured,44,2,Yes,Male,Bachelor Degree,Yes,No,South,White
insured,37,4,Yes,Female,High School Diploma,Yes,No,NorthEast,White
